reference_date,target,horizon,location,target_end_date,output_type,output_type_id,value
2026-01-17,pct wk covid lab det,-1,ab,2026-01-10,quantile,0.025,0
2026-01-17,pct wk covid lab det,-1,ab,2026-01-10,quantile,0.1,0
2026-01-17,pct wk covid lab det,-1,ab,2026-01-10,quantile,0.25,1
2026-01-17,pct wk covid lab det,-1,ab,2026-01-10,quantile,0.5,4
2026-01-17,pct wk covid lab det,-1,ab,2026-01-10,quantile,0.75,7
2026-01-17,pct wk covid lab det,-1,ab,2026-01-10,quantile,0.9,8
2026-01-17,pct wk covid lab det,-1,ab,2026-01-10,quantile,0.975,9
2026-01-17,pct wk covid lab det,0,ab,2026-01-17,quantile,0.025,0
2026-01-17,pct wk covid lab det,0,ab,2026-01-17,quantile,0.1,0
2026-01-17,pct wk covid lab det,0,ab,2026-01-17,quantile,0.25,1
2026-01-17,pct wk covid lab det,0,ab,2026-01-17,quantile,0.5,4
2026-01-17,pct wk covid lab det,0,ab,2026-01-17,quantile,0.75,6
2026-01-17,pct wk covid lab det,0,ab,2026-01-17,quantile,0.9,7
2026-01-17,pct wk covid lab det,0,ab,2026-01-17,quantile,0.975,8
2026-01-17,pct wk covid lab det,1,ab,2026-01-24,quantile,0.025,0
2026-01-17,pct wk covid lab det,1,ab,2026-01-24,quantile,0.1,0
2026-01-17,pct wk covid lab det,1,ab,2026-01-24,quantile,0.25,1
2026-01-17,pct wk covid lab det,1,ab,2026-01-24,quantile,0.5,3
2026-01-17,pct wk covid lab det,1,ab,2026-01-24,quantile,0.75,5
2026-01-17,pct wk covid lab det,1,ab,2026-01-24,quantile,0.9,6
2026-01-17,pct wk covid lab det,1,ab,2026-01-24,quantile,0.975,7
2026-01-17,pct wk covid lab det,2,ab,2026-01-31,quantile,0.025,0
2026-01-17,pct wk covid lab det,2,ab,2026-01-31,quantile,0.1,0
2026-01-17,pct wk covid lab det,2,ab,2026-01-31,quantile,0.25,1
2026-01-17,pct wk covid lab det,2,ab,2026-01-31,quantile,0.5,3
2026-01-17,pct wk covid lab det,2,ab,2026-01-31,quantile,0.75,5
2026-01-17,pct wk covid lab det,2,ab,2026-01-31,quantile,0.9,6
2026-01-17,pct wk covid lab det,2,ab,2026-01-31,quantile,0.975,6
2026-01-17,pct wk covid lab det,3,ab,2026-02-07,quantile,0.025,0
2026-01-17,pct wk covid lab det,3,ab,2026-02-07,quantile,0.1,0
2026-01-17,pct wk covid lab det,3,ab,2026-02-07,quantile,0.25,1
2026-01-17,pct wk covid lab det,3,ab,2026-02-07,quantile,0.5,3
2026-01-17,pct wk covid lab det,3,ab,2026-02-07,quantile,0.75,4
2026-01-17,pct wk covid lab det,3,ab,2026-02-07,quantile,0.9,5
2026-01-17,pct wk covid lab det,3,ab,2026-02-07,quantile,0.975,6
2026-01-17,pct wk flu lab det,-1,ab,2026-01-10,quantile,0.025,0
2026-01-17,pct wk flu lab det,-1,ab,2026-01-10,quantile,0.1,1
2026-01-17,pct wk flu lab det,-1,ab,2026-01-10,quantile,0.25,6
2026-01-17,pct wk flu lab det,-1,ab,2026-01-10,quantile,0.5,16
2026-01-17,pct wk flu lab det,-1,ab,2026-01-10,quantile,0.75,25
2026-01-17,pct wk flu lab det,-1,ab,2026-01-10,quantile,0.9,30
2026-01-17,pct wk flu lab det,-1,ab,2026-01-10,quantile,0.975,32
2026-01-17,pct wk flu lab det,0,ab,2026-01-17,quantile,0.025,0
2026-01-17,pct wk flu lab det,0,ab,2026-01-17,quantile,0.1,1
2026-01-17,pct wk flu lab det,0,ab,2026-01-17,quantile,0.25,6
2026-01-17,pct wk flu lab det,0,ab,2026-01-17,quantile,0.5,14
2026-01-17,pct wk flu lab det,0,ab,2026-01-17,quantile,0.75,23
2026-01-17,pct wk flu lab det,0,ab,2026-01-17,quantile,0.9,27
2026-01-17,pct wk flu lab det,0,ab,2026-01-17,quantile,0.975,29
2026-01-17,pct wk flu lab det,1,ab,2026-01-24,quantile,0.025,0
2026-01-17,pct wk flu lab det,1,ab,2026-01-24,quantile,0.1,1
2026-01-17,pct wk flu lab det,1,ab,2026-01-24,quantile,0.25,5
2026-01-17,pct wk flu lab det,1,ab,2026-01-24,quantile,0.5,13
2026-01-17,pct wk flu lab det,1,ab,2026-01-24,quantile,0.75,21
2026-01-17,pct wk flu lab det,1,ab,2026-01-24,quantile,0.9,24
2026-01-17,pct wk flu lab det,1,ab,2026-01-24,quantile,0.975,26
2026-01-17,pct wk flu lab det,2,ab,2026-01-31,quantile,0.025,0
2026-01-17,pct wk flu lab det,2,ab,2026-01-31,quantile,0.1,1
2026-01-17,pct wk flu lab det,2,ab,2026-01-31,quantile,0.25,5
2026-01-17,pct wk flu lab det,2,ab,2026-01-31,quantile,0.5,13
2026-01-17,pct wk flu lab det,2,ab,2026-01-31,quantile,0.75,20
2026-01-17,pct wk flu lab det,2,ab,2026-01-31,quantile,0.9,24
2026-01-17,pct wk flu lab det,2,ab,2026-01-31,quantile,0.975,26
2026-01-17,pct wk flu lab det,3,ab,2026-02-07,quantile,0.025,0
2026-01-17,pct wk flu lab det,3,ab,2026-02-07,quantile,0.1,1
2026-01-17,pct wk flu lab det,3,ab,2026-02-07,quantile,0.25,5
