reference_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2026-01-10,2026-01-03,-1,ab,pct wk covid lab det,quantile,0.025,1.9
2026-01-10,2026-01-03,-1,ab,pct wk covid lab det,quantile,0.1,2.8
2026-01-10,2026-01-03,-1,ab,pct wk covid lab det,quantile,0.25,3.5
2026-01-10,2026-01-03,-1,ab,pct wk covid lab det,quantile,0.5,4.2
2026-01-10,2026-01-03,-1,ab,pct wk covid lab det,quantile,0.75,4.9
2026-01-10,2026-01-03,-1,ab,pct wk covid lab det,quantile,0.9,5.6
2026-01-10,2026-01-03,-1,ab,pct wk covid lab det,quantile,0.975,6.3
2026-01-10,2026-01-10,0,ab,pct wk covid lab det,quantile,0.025,2.2
2026-01-10,2026-01-10,0,ab,pct wk covid lab det,quantile,0.1,2.8
2026-01-10,2026-01-10,0,ab,pct wk covid lab det,quantile,0.25,3.3
2026-01-10,2026-01-10,0,ab,pct wk covid lab det,quantile,0.5,3.9
2026-01-10,2026-01-10,0,ab,pct wk covid lab det,quantile,0.75,4.4
2026-01-10,2026-01-10,0,ab,pct wk covid lab det,quantile,0.9,4.9
2026-01-10,2026-01-10,0,ab,pct wk covid lab det,quantile,0.975,5.5
2026-01-10,2026-01-17,1,ab,pct wk covid lab det,quantile,0.025,2.1
2026-01-10,2026-01-17,1,ab,pct wk covid lab det,quantile,0.1,2.6
2026-01-10,2026-01-17,1,ab,pct wk covid lab det,quantile,0.25,3.1
2026-01-10,2026-01-17,1,ab,pct wk covid lab det,quantile,0.5,3.7
2026-01-10,2026-01-17,1,ab,pct wk covid lab det,quantile,0.75,4.3
2026-01-10,2026-01-17,1,ab,pct wk covid lab det,quantile,0.9,4.8
2026-01-10,2026-01-17,1,ab,pct wk covid lab det,quantile,0.975,5.4
2026-01-10,2026-01-24,2,ab,pct wk covid lab det,quantile,0.025,1.9
2026-01-10,2026-01-24,2,ab,pct wk covid lab det,quantile,0.1,2.5
2026-01-10,2026-01-24,2,ab,pct wk covid lab det,quantile,0.25,3
2026-01-10,2026-01-24,2,ab,pct wk covid lab det,quantile,0.5,3.6
2026-01-10,2026-01-24,2,ab,pct wk covid lab det,quantile,0.75,4.2
2026-01-10,2026-01-24,2,ab,pct wk covid lab det,quantile,0.9,4.7
2026-01-10,2026-01-24,2,ab,pct wk covid lab det,quantile,0.975,5.4
2026-01-10,2026-01-31,3,ab,pct wk covid lab det,quantile,0.025,1.8
2026-01-10,2026-01-31,3,ab,pct wk covid lab det,quantile,0.1,2.5
2026-01-10,2026-01-31,3,ab,pct wk covid lab det,quantile,0.25,3
2026-01-10,2026-01-31,3,ab,pct wk covid lab det,quantile,0.5,3.5
2026-01-10,2026-01-31,3,ab,pct wk covid lab det,quantile,0.75,4.2
2026-01-10,2026-01-31,3,ab,pct wk covid lab det,quantile,0.9,4.8
2026-01-10,2026-01-31,3,ab,pct wk covid lab det,quantile,0.975,5.6
2026-01-10,2026-01-03,-1,ns,pct wk covid lab det,quantile,0.025,3.2
2026-01-10,2026-01-03,-1,ns,pct wk covid lab det,quantile,0.1,5.1
2026-01-10,2026-01-03,-1,ns,pct wk covid lab det,quantile,0.25,6.7
2026-01-10,2026-01-03,-1,ns,pct wk covid lab det,quantile,0.5,8.7
2026-01-10,2026-01-03,-1,ns,pct wk covid lab det,quantile,0.75,10.4
2026-01-10,2026-01-03,-1,ns,pct wk covid lab det,quantile,0.9,12.3
2026-01-10,2026-01-03,-1,ns,pct wk covid lab det,quantile,0.975,13.9
2026-01-10,2026-01-10,0,ns,pct wk covid lab det,quantile,0.025,2.9
2026-01-10,2026-01-10,0,ns,pct wk covid lab det,quantile,0.1,4.2
2026-01-10,2026-01-10,0,ns,pct wk covid lab det,quantile,0.25,5.5
2026-01-10,2026-01-10,0,ns,pct wk covid lab det,quantile,0.5,6.7
2026-01-10,2026-01-10,0,ns,pct wk covid lab det,quantile,0.75,8
2026-01-10,2026-01-10,0,ns,pct wk covid lab det,quantile,0.9,9.2
2026-01-10,2026-01-10,0,ns,pct wk covid lab det,quantile,0.975,11
2026-01-10,2026-01-17,1,ns,pct wk covid lab det,quantile,0.025,2.6
2026-01-10,2026-01-17,1,ns,pct wk covid lab det,quantile,0.1,4.1
2026-01-10,2026-01-17,1,ns,pct wk covid lab det,quantile,0.25,5.3
2026-01-10,2026-01-17,1,ns,pct wk covid lab det,quantile,0.5,6.7
2026-01-10,2026-01-17,1,ns,pct wk covid lab det,quantile,0.75,8.1
2026-01-10,2026-01-17,1,ns,pct wk covid lab det,quantile,0.9,9.4
2026-01-10,2026-01-17,1,ns,pct wk covid lab det,quantile,0.975,11.2
2026-01-10,2026-01-24,2,ns,pct wk covid lab det,quantile,0.025,3
2026-01-10,2026-01-24,2,ns,pct wk covid lab det,quantile,0.1,4.3
2026-01-10,2026-01-24,2,ns,pct wk covid lab det,quantile,0.25,5.5
2026-01-10,2026-01-24,2,ns,pct wk covid lab det,quantile,0.5,6.8
2026-01-10,2026-01-24,2,ns,pct wk covid lab det,quantile,0.75,8.1
2026-01-10,2026-01-24,2,ns,pct wk covid lab det,quantile,0.9,9.6
2026-01-10,2026-01-24,2,ns,pct wk covid lab det,quantile,0.975,11.6
2026-01-10,2026-01-31,3,ns,pct wk covid lab det,quantile,0.025,2.8
2026-01-10,2026-01-31,3,ns,pct wk covid lab det,quantile,0.1,4
2026-01-10,2026-01-31,3,ns,pct wk covid lab det,quantile,0.25,5.3
2026-01-10,2026-01-31,3,ns,pct wk covid lab det,quantile,0.5,6.6
2026-01-10,2026-01-31,3,ns,pct wk covid lab det,quantile,0.75,8.1
2026-01-10,2026-01-31,3,ns,pct wk covid lab det,quantile,0.9,9.8
2026-01-10,2026-01-31,3,ns,pct wk covid lab det,quantile,0.975,11.7
2026-01-10,2026-01-03,-1,nb,pct wk covid lab det,quantile,0.025,5.5
2026-01-10,2026-01-03,-1,nb,pct wk covid lab det,quantile,0.1,6.5
2026-01-10,2026-01-03,-1,nb,pct wk covid lab det,quantile,0.25,7.3
