"location","horizon","reference_date","target_end_date","target","output_type","output_type_id","value"
"ab",-1,"2025-12-13","2025-12-06","pct wk covid lab det","quantile",0.025,2.55
"ab",-1,"2025-12-13","2025-12-06","pct wk covid lab det","quantile",0.1,2.9
"ab",-1,"2025-12-13","2025-12-06","pct wk covid lab det","quantile",0.25,3.5
"ab",-1,"2025-12-13","2025-12-06","pct wk covid lab det","quantile",0.5,4.6
"ab",-1,"2025-12-13","2025-12-06","pct wk covid lab det","quantile",0.75,5.675
"ab",-1,"2025-12-13","2025-12-06","pct wk covid lab det","quantile",0.9,6.225
"ab",-1,"2025-12-13","2025-12-06","pct wk covid lab det","quantile",0.975,7.125
"ab",-1,"2025-12-13","2025-12-06","pct wk flu lab det","quantile",0.025,11.6
"ab",-1,"2025-12-13","2025-12-06","pct wk flu lab det","quantile",0.1,13.9
"ab",-1,"2025-12-13","2025-12-06","pct wk flu lab det","quantile",0.25,17.65
"ab",-1,"2025-12-13","2025-12-06","pct wk flu lab det","quantile",0.5,23.725
"ab",-1,"2025-12-13","2025-12-06","pct wk flu lab det","quantile",0.75,29.075
"ab",-1,"2025-12-13","2025-12-06","pct wk flu lab det","quantile",0.9,33.725
"ab",-1,"2025-12-13","2025-12-06","pct wk flu lab det","quantile",0.975,37.325
"ab",-1,"2025-12-13","2025-12-06","pct wk rsv lab det","quantile",0.025,0.25
"ab",-1,"2025-12-13","2025-12-06","pct wk rsv lab det","quantile",0.1,0.55
"ab",-1,"2025-12-13","2025-12-06","pct wk rsv lab det","quantile",0.25,0.95
"ab",-1,"2025-12-13","2025-12-06","pct wk rsv lab det","quantile",0.5,1.9
"ab",-1,"2025-12-13","2025-12-06","pct wk rsv lab det","quantile",0.75,2.625
"ab",-1,"2025-12-13","2025-12-06","pct wk rsv lab det","quantile",0.9,3.475
"ab",-1,"2025-12-13","2025-12-06","pct wk rsv lab det","quantile",0.975,3.875
"ab",0,"2025-12-13","2025-12-13","pct wk covid lab det","quantile",0.025,3.07142857142857
"ab",0,"2025-12-13","2025-12-13","pct wk covid lab det","quantile",0.1,3.4
"ab",0,"2025-12-13","2025-12-13","pct wk covid lab det","quantile",0.25,3.7
"ab",0,"2025-12-13","2025-12-13","pct wk covid lab det","quantile",0.5,4.52857142857143
"ab",0,"2025-12-13","2025-12-13","pct wk covid lab det","quantile",0.75,5.14285714285714
"ab",0,"2025-12-13","2025-12-13","pct wk covid lab det","quantile",0.9,5.41428571428571
"ab",0,"2025-12-13","2025-12-13","pct wk covid lab det","quantile",0.975,6.02857142857143
"ab",0,"2025-12-13","2025-12-13","pct wk flu lab det","quantile",0.025,18.9285714285714
"ab",0,"2025-12-13","2025-12-13","pct wk flu lab det","quantile",0.1,20.4428571428571
"ab",0,"2025-12-13","2025-12-13","pct wk flu lab det","quantile",0.25,22.6285714285714
"ab",0,"2025-12-13","2025-12-13","pct wk flu lab det","quantile",0.5,26.5
"ab",0,"2025-12-13","2025-12-13","pct wk flu lab det","quantile",0.75,30.3714285714286
"ab",0,"2025-12-13","2025-12-13","pct wk flu lab det","quantile",0.9,33.8714285714286
"ab",0,"2025-12-13","2025-12-13","pct wk flu lab det","quantile",0.975,35.7714285714286
"ab",0,"2025-12-13","2025-12-13","pct wk rsv lab det","quantile",0.025,1.02857142857143
"ab",0,"2025-12-13","2025-12-13","pct wk rsv lab det","quantile",0.1,1.28571428571429
"ab",0,"2025-12-13","2025-12-13","pct wk rsv lab det","quantile",0.25,1.61428571428571
"ab",0,"2025-12-13","2025-12-13","pct wk rsv lab det","quantile",0.5,1.98571428571429
"ab",0,"2025-12-13","2025-12-13","pct wk rsv lab det","quantile",0.75,2.75714285714286
"ab",0,"2025-12-13","2025-12-13","pct wk rsv lab det","quantile",0.9,3.25714285714286
"ab",0,"2025-12-13","2025-12-13","pct wk rsv lab det","quantile",0.975,3.62857142857143
"ab",1,"2025-12-13","2025-12-20","pct wk covid lab det","quantile",0.025,1.61428571428571
"ab",1,"2025-12-13","2025-12-20","pct wk covid lab det","quantile",0.1,2.51428571428571
"ab",1,"2025-12-13","2025-12-20","pct wk covid lab det","quantile",0.25,3.4
"ab",1,"2025-12-13","2025-12-20","pct wk covid lab det","quantile",0.5,4.52857142857143
"ab",1,"2025-12-13","2025-12-20","pct wk covid lab det","quantile",0.75,5.6
"ab",1,"2025-12-13","2025-12-20","pct wk covid lab det","quantile",0.9,6.48571428571429
"ab",1,"2025-12-13","2025-12-20","pct wk covid lab det","quantile",0.975,8.37142857142857
