"location","horizon","reference_date","target_end_date","target","output_type","output_type_id","value"
"ab",-1,"2025-11-29","2025-11-22","pct wk covid lab det","quantile",0.025,1.66666666666667
"ab",-1,"2025-11-29","2025-11-22","pct wk covid lab det","quantile",0.1,2.06666666666667
"ab",-1,"2025-11-29","2025-11-22","pct wk covid lab det","quantile",0.25,2.8
"ab",-1,"2025-11-29","2025-11-22","pct wk covid lab det","quantile",0.5,4.33333333333333
"ab",-1,"2025-11-29","2025-11-22","pct wk covid lab det","quantile",0.75,5.8
"ab",-1,"2025-11-29","2025-11-22","pct wk covid lab det","quantile",0.9,6.53333333333333
"ab",-1,"2025-11-29","2025-11-22","pct wk covid lab det","quantile",0.975,6.93333333333333
"ab",-1,"2025-11-29","2025-11-22","pct wk flu lab det","quantile",0.025,6.1
"ab",-1,"2025-11-29","2025-11-22","pct wk flu lab det","quantile",0.1,7.46666666666667
"ab",-1,"2025-11-29","2025-11-22","pct wk flu lab det","quantile",0.25,9.86666666666667
"ab",-1,"2025-11-29","2025-11-22","pct wk flu lab det","quantile",0.5,13.6
"ab",-1,"2025-11-29","2025-11-22","pct wk flu lab det","quantile",0.75,17.2666666666667
"ab",-1,"2025-11-29","2025-11-22","pct wk flu lab det","quantile",0.9,19.6666666666667
"ab",-1,"2025-11-29","2025-11-22","pct wk flu lab det","quantile",0.975,21.2333333333333
"ab",-1,"2025-11-29","2025-11-22","pct wk rsv lab det","quantile",0.025,1
"ab",-1,"2025-11-29","2025-11-22","pct wk rsv lab det","quantile",0.1,1
"ab",-1,"2025-11-29","2025-11-22","pct wk rsv lab det","quantile",0.25,1
"ab",-1,"2025-11-29","2025-11-22","pct wk rsv lab det","quantile",0.5,1.33333333333333
"ab",-1,"2025-11-29","2025-11-22","pct wk rsv lab det","quantile",0.75,1.66666666666667
"ab",-1,"2025-11-29","2025-11-22","pct wk rsv lab det","quantile",0.9,1.66666666666667
"ab",-1,"2025-11-29","2025-11-22","pct wk rsv lab det","quantile",0.975,1.66666666666667
"ab",0,"2025-11-29","2025-11-29","pct wk covid lab det","quantile",0.025,3.36666666666667
"ab",0,"2025-11-29","2025-11-29","pct wk covid lab det","quantile",0.1,3.53333333333333
"ab",0,"2025-11-29","2025-11-29","pct wk covid lab det","quantile",0.25,3.86666666666667
"ab",0,"2025-11-29","2025-11-29","pct wk covid lab det","quantile",0.5,5.03333333333333
"ab",0,"2025-11-29","2025-11-29","pct wk covid lab det","quantile",0.75,5.53333333333333
"ab",0,"2025-11-29","2025-11-29","pct wk covid lab det","quantile",0.9,5.83333333333333
"ab",0,"2025-11-29","2025-11-29","pct wk covid lab det","quantile",0.975,6.33333333333333
"ab",0,"2025-11-29","2025-11-29","pct wk flu lab det","quantile",0.025,7.81666666666667
"ab",0,"2025-11-29","2025-11-29","pct wk flu lab det","quantile",0.1,8.61666666666667
"ab",0,"2025-11-29","2025-11-29","pct wk flu lab det","quantile",0.25,10.0166666666667
"ab",0,"2025-11-29","2025-11-29","pct wk flu lab det","quantile",0.5,12.5166666666667
"ab",0,"2025-11-29","2025-11-29","pct wk flu lab det","quantile",0.75,14.7
"ab",0,"2025-11-29","2025-11-29","pct wk flu lab det","quantile",0.9,16.1333333333333
"ab",0,"2025-11-29","2025-11-29","pct wk flu lab det","quantile",0.975,17.2833333333333
"ab",0,"2025-11-29","2025-11-29","pct wk rsv lab det","quantile",0.025,0.916666666666667
"ab",0,"2025-11-29","2025-11-29","pct wk rsv lab det","quantile",0.1,0.983333333333333
"ab",0,"2025-11-29","2025-11-29","pct wk rsv lab det","quantile",0.25,1.01666666666667
"ab",0,"2025-11-29","2025-11-29","pct wk rsv lab det","quantile",0.5,1.21666666666667
"ab",0,"2025-11-29","2025-11-29","pct wk rsv lab det","quantile",0.75,1.93333333333333
"ab",0,"2025-11-29","2025-11-29","pct wk rsv lab det","quantile",0.9,2
"ab",0,"2025-11-29","2025-11-29","pct wk rsv lab det","quantile",0.975,2.2
"ab",1,"2025-11-29","2025-12-06","pct wk covid lab det","quantile",0.025,1.3
"ab",1,"2025-11-29","2025-12-06","pct wk covid lab det","quantile",0.1,2.43333333333333
"ab",1,"2025-11-29","2025-12-06","pct wk covid lab det","quantile",0.25,3.4
"ab",1,"2025-11-29","2025-12-06","pct wk covid lab det","quantile",0.5,4.73333333333333
"ab",1,"2025-11-29","2025-12-06","pct wk covid lab det","quantile",0.75,5.9
"ab",1,"2025-11-29","2025-12-06","pct wk covid lab det","quantile",0.9,6.9
"ab",1,"2025-11-29","2025-12-06","pct wk covid lab det","quantile",0.975,8.56666666666667
"ab",1,"2025-11-29","2025-12-06","pct wk flu lab det","quantile",0.025,4.4
"ab",1,"2025-11-29","2025-12-06","pct wk flu lab det","quantile",0.1,7.65
"ab",1,"2025-11-29","2025-12-06","pct wk flu lab det","quantile",0.25,9.4
"ab",1,"2025-11-29","2025-12-06","pct wk flu lab det","quantile",0.5,12.05
"ab",1,"2025-11-29","2025-12-06","pct wk flu lab det","quantile",0.75,14.7166666666667
"ab",1,"2025-11-29","2025-12-06","pct wk flu lab det","quantile",0.9,16.8333333333333
"ab",1,"2025-11-29","2025-12-06","pct wk flu lab det","quantile",0.975,20.2333333333333
"ab",1,"2025-11-29","2025-12-06","pct wk rsv lab det","quantile",0.025,0.4
"ab",1,"2025-11-29","2025-12-06","pct wk rsv lab det","quantile",0.1,0.466666666666667
"ab",1,"2025-11-29","2025-12-06","pct wk rsv lab det","quantile",0.25,1.03333333333333
"ab",1,"2025-11-29","2025-12-06","pct wk rsv lab det","quantile",0.5,1.43333333333333
"ab",1,"2025-11-29","2025-12-06","pct wk rsv lab det","quantile",0.75,2.01666666666667
"ab",1,"2025-11-29","2025-12-06","pct wk rsv lab det","quantile",0.9,2.58333333333333
"ab",1,"2025-11-29","2025-12-06","pct wk rsv lab det","quantile",0.975,4.18333333333333
"ab",2,"2025-11-29","2025-12-13","pct wk covid lab det","quantile",0.025,1
"ab",2,"2025-11-29","2025-12-13","pct wk covid lab det","quantile",0.1,2.16666666666667
"ab",2,"2025-11-29","2025-12-13","pct wk covid lab det","quantile",0.25,3.3
"ab",2,"2025-11-29","2025-12-13","pct wk covid lab det","quantile",0.5,4.63333333333333
"ab",2,"2025-11-29","2025-12-13","pct wk covid lab det","quantile",0.75,6.13333333333333
"ab",2,"2025-11-29","2025-12-13","pct wk covid lab det","quantile",0.9,7.1
"ab",2,"2025-11-29","2025-12-13","pct wk covid lab det","quantile",0.975,8.76666666666667
"ab",2,"2025-11-29","2025-12-13","pct wk flu lab det","quantile",0.025,5.06666666666667
"ab",2,"2025-11-29","2025-12-13","pct wk flu lab det","quantile",0.1,9.55
"ab",2,"2025-11-29","2025-12-13","pct wk flu lab det","quantile",0.25,12.4
"ab",2,"2025-11-29","2025-12-13","pct wk flu lab det","quantile",0.5,16.35
"ab",2,"2025-11-29","2025-12-13","pct wk flu lab det","quantile",0.75,20.1833333333333
"ab",2,"2025-11-29","2025-12-13","pct wk flu lab det","quantile",0.9,22.1833333333333
"ab",2,"2025-11-29","2025-12-13","pct wk flu lab det","quantile",0.975,25.5166666666667
"ab",2,"2025-11-29","2025-12-13","pct wk rsv lab det","quantile",0.025,0.366666666666667
"ab",2,"2025-11-29","2025-12-13","pct wk rsv lab det","quantile",0.1,0.483333333333333
"ab",2,"2025-11-29","2025-12-13","pct wk rsv lab det","quantile",0.25,1.08333333333333
"ab",2,"2025-11-29","2025-12-13","pct wk rsv lab det","quantile",0.5,1.7
"ab",2,"2025-11-29","2025-12-13","pct wk rsv lab det","quantile",0.75,2.33333333333333
