"location","horizon","reference_date","target_end_date","target","output_type","output_type_id","value"
"ab",-1,"2026-01-10","2026-01-03","pct wk covid lab det","quantile",0.025,1.96
"ab",-1,"2026-01-10","2026-01-03","pct wk covid lab det","quantile",0.1,2.52
"ab",-1,"2026-01-10","2026-01-03","pct wk covid lab det","quantile",0.25,3.2
"ab",-1,"2026-01-10","2026-01-03","pct wk covid lab det","quantile",0.5,4.08
"ab",-1,"2026-01-10","2026-01-03","pct wk covid lab det","quantile",0.75,4.96
"ab",-1,"2026-01-10","2026-01-03","pct wk covid lab det","quantile",0.9,5.44
"ab",-1,"2026-01-10","2026-01-03","pct wk covid lab det","quantile",0.975,6.12
"ab",-1,"2026-01-10","2026-01-03","pct wk flu lab det","quantile",0.025,15.68
"ab",-1,"2026-01-10","2026-01-03","pct wk flu lab det","quantile",0.1,18.4
"ab",-1,"2026-01-10","2026-01-03","pct wk flu lab det","quantile",0.25,23.02
"ab",-1,"2026-01-10","2026-01-03","pct wk flu lab det","quantile",0.5,28.82
"ab",-1,"2026-01-10","2026-01-03","pct wk flu lab det","quantile",0.75,34.42
"ab",-1,"2026-01-10","2026-01-03","pct wk flu lab det","quantile",0.9,38.1
"ab",-1,"2026-01-10","2026-01-03","pct wk flu lab det","quantile",0.975,41.78
"ab",-1,"2026-01-10","2026-01-03","pct wk rsv lab det","quantile",0.025,1.72
"ab",-1,"2026-01-10","2026-01-03","pct wk rsv lab det","quantile",0.1,2.16
"ab",-1,"2026-01-10","2026-01-03","pct wk rsv lab det","quantile",0.25,2.84
"ab",-1,"2026-01-10","2026-01-03","pct wk rsv lab det","quantile",0.5,3.88
"ab",-1,"2026-01-10","2026-01-03","pct wk rsv lab det","quantile",0.75,4.74
"ab",-1,"2026-01-10","2026-01-03","pct wk rsv lab det","quantile",0.9,5.34
"ab",-1,"2026-01-10","2026-01-03","pct wk rsv lab det","quantile",0.975,5.98
"ab",0,"2026-01-10","2026-01-10","pct wk covid lab det","quantile",0.025,2.6875
"ab",0,"2026-01-10","2026-01-10","pct wk covid lab det","quantile",0.1,3.1
"ab",0,"2026-01-10","2026-01-10","pct wk covid lab det","quantile",0.25,3.35
"ab",0,"2026-01-10","2026-01-10","pct wk covid lab det","quantile",0.5,3.875
"ab",0,"2026-01-10","2026-01-10","pct wk covid lab det","quantile",0.75,4.875
"ab",0,"2026-01-10","2026-01-10","pct wk covid lab det","quantile",0.9,5.1375
"ab",0,"2026-01-10","2026-01-10","pct wk covid lab det","quantile",0.975,7.2875
"ab",0,"2026-01-10","2026-01-10","pct wk flu lab det","quantile",0.025,18.7125
"ab",0,"2026-01-10","2026-01-10","pct wk flu lab det","quantile",0.1,21.2625
"ab",0,"2026-01-10","2026-01-10","pct wk flu lab det","quantile",0.25,24.0375
"ab",0,"2026-01-10","2026-01-10","pct wk flu lab det","quantile",0.5,27.8875
"ab",0,"2026-01-10","2026-01-10","pct wk flu lab det","quantile",0.75,31.7875
"ab",0,"2026-01-10","2026-01-10","pct wk flu lab det","quantile",0.9,34.7875
"ab",0,"2026-01-10","2026-01-10","pct wk flu lab det","quantile",0.975,40.2375
"ab",0,"2026-01-10","2026-01-10","pct wk rsv lab det","quantile",0.025,2.325
"ab",0,"2026-01-10","2026-01-10","pct wk rsv lab det","quantile",0.1,2.7
"ab",0,"2026-01-10","2026-01-10","pct wk rsv lab det","quantile",0.25,3.025
"ab",0,"2026-01-10","2026-01-10","pct wk rsv lab det","quantile",0.5,3.5125
"ab",0,"2026-01-10","2026-01-10","pct wk rsv lab det","quantile",0.75,4.5
"ab",0,"2026-01-10","2026-01-10","pct wk rsv lab det","quantile",0.9,4.95
"ab",0,"2026-01-10","2026-01-10","pct wk rsv lab det","quantile",0.975,5.1875
"ab",1,"2026-01-10","2026-01-17","pct wk covid lab det","quantile",0.025,1.4375
"ab",1,"2026-01-10","2026-01-17","pct wk covid lab det","quantile",0.1,2.2
"ab",1,"2026-01-10","2026-01-17","pct wk covid lab det","quantile",0.25,3.0875
"ab",1,"2026-01-10","2026-01-17","pct wk covid lab det","quantile",0.5,4.1125
"ab",1,"2026-01-10","2026-01-17","pct wk covid lab det","quantile",0.75,5.15
"ab",1,"2026-01-10","2026-01-17","pct wk covid lab det","quantile",0.9,5.7875
