"location","horizon","reference_date","target_end_date","target","output_type","output_type_id","value"
"ab",-1,"2025-12-06","2025-11-29","pct wk covid lab det","quantile",0.025,3.175
"ab",-1,"2025-12-06","2025-11-29","pct wk covid lab det","quantile",0.1,3.525
"ab",-1,"2025-12-06","2025-11-29","pct wk covid lab det","quantile",0.25,4.325
"ab",-1,"2025-12-06","2025-11-29","pct wk covid lab det","quantile",0.5,5.425
"ab",-1,"2025-12-06","2025-11-29","pct wk covid lab det","quantile",0.75,6.775
"ab",-1,"2025-12-06","2025-11-29","pct wk covid lab det","quantile",0.9,7.625
"ab",-1,"2025-12-06","2025-11-29","pct wk covid lab det","quantile",0.975,7.975
"ab",-1,"2025-12-06","2025-11-29","pct wk flu lab det","quantile",0.025,7.275
"ab",-1,"2025-12-06","2025-11-29","pct wk flu lab det","quantile",0.1,8.75
"ab",-1,"2025-12-06","2025-11-29","pct wk flu lab det","quantile",0.25,11
"ab",-1,"2025-12-06","2025-11-29","pct wk flu lab det","quantile",0.5,14.85
"ab",-1,"2025-12-06","2025-11-29","pct wk flu lab det","quantile",0.75,18.2
"ab",-1,"2025-12-06","2025-11-29","pct wk flu lab det","quantile",0.9,20.65
"ab",-1,"2025-12-06","2025-11-29","pct wk flu lab det","quantile",0.975,22.975
"ab",-1,"2025-12-06","2025-11-29","pct wk rsv lab det","quantile",0.025,0.25
"ab",-1,"2025-12-06","2025-11-29","pct wk rsv lab det","quantile",0.1,0.55
"ab",-1,"2025-12-06","2025-11-29","pct wk rsv lab det","quantile",0.25,0.975
"ab",-1,"2025-12-06","2025-11-29","pct wk rsv lab det","quantile",0.5,2.225
"ab",-1,"2025-12-06","2025-11-29","pct wk rsv lab det","quantile",0.75,2.875
"ab",-1,"2025-12-06","2025-11-29","pct wk rsv lab det","quantile",0.9,3.55
"ab",-1,"2025-12-06","2025-11-29","pct wk rsv lab det","quantile",0.975,3.95
"ab",0,"2025-12-06","2025-12-06","pct wk covid lab det","quantile",0.025,3.58571428571429
"ab",0,"2025-12-06","2025-12-06","pct wk covid lab det","quantile",0.1,3.94285714285714
"ab",0,"2025-12-06","2025-12-06","pct wk covid lab det","quantile",0.25,4.4
"ab",0,"2025-12-06","2025-12-06","pct wk covid lab det","quantile",0.5,5.3
"ab",0,"2025-12-06","2025-12-06","pct wk covid lab det","quantile",0.75,5.9
"ab",0,"2025-12-06","2025-12-06","pct wk covid lab det","quantile",0.9,6.54285714285714
"ab",0,"2025-12-06","2025-12-06","pct wk covid lab det","quantile",0.975,6.85714285714286
"ab",0,"2025-12-06","2025-12-06","pct wk flu lab det","quantile",0.025,11.5142857142857
"ab",0,"2025-12-06","2025-12-06","pct wk flu lab det","quantile",0.1,12.8571428571429
"ab",0,"2025-12-06","2025-12-06","pct wk flu lab det","quantile",0.25,14.4714285714286
"ab",0,"2025-12-06","2025-12-06","pct wk flu lab det","quantile",0.5,16.7285714285714
"ab",0,"2025-12-06","2025-12-06","pct wk flu lab det","quantile",0.75,19.7142857142857
"ab",0,"2025-12-06","2025-12-06","pct wk flu lab det","quantile",0.9,21.5
"ab",0,"2025-12-06","2025-12-06","pct wk flu lab det","quantile",0.975,23.5
"ab",0,"2025-12-06","2025-12-06","pct wk rsv lab det","quantile",0.025,1
"ab",0,"2025-12-06","2025-12-06","pct wk rsv lab det","quantile",0.1,1.22857142857143
"ab",0,"2025-12-06","2025-12-06","pct wk rsv lab det","quantile",0.25,1.58571428571429
"ab",0,"2025-12-06","2025-12-06","pct wk rsv lab det","quantile",0.5,2.02857142857143
"ab",0,"2025-12-06","2025-12-06","pct wk rsv lab det","quantile",0.75,3.15714285714286
"ab",0,"2025-12-06","2025-12-06","pct wk rsv lab det","quantile",0.9,3.41428571428571
"ab",0,"2025-12-06","2025-12-06","pct wk rsv lab det","quantile",0.975,4.32857142857143
"ab",1,"2025-12-06","2025-12-13","pct wk covid lab det","quantile",0.025,1.81428571428571
"ab",1,"2025-12-06","2025-12-13","pct wk covid lab det","quantile",0.1,3.17142857142857
"ab",1,"2025-12-06","2025-12-13","pct wk covid lab det","quantile",0.25,3.87142857142857
"ab",1,"2025-12-06","2025-12-13","pct wk covid lab det","quantile",0.5,5.2
"ab",1,"2025-12-06","2025-12-13","pct wk covid lab det","quantile",0.75,6.37142857142857
"ab",1,"2025-12-06","2025-12-13","pct wk covid lab det","quantile",0.9,7.25714285714286
"ab",1,"2025-12-06","2025-12-13","pct wk covid lab det","quantile",0.975,8.87142857142857
"ab",1,"2025-12-06","2025-12-13","pct wk flu lab det","quantile",0.025,9.14285714285714
"ab",1,"2025-12-06","2025-12-13","pct wk flu lab det","quantile",0.1,12.5428571428571
"ab",1,"2025-12-06","2025-12-13","pct wk flu lab det","quantile",0.25,14.9
"ab",1,"2025-12-06","2025-12-13","pct wk flu lab det","quantile",0.5,17.9428571428571
"ab",1,"2025-12-06","2025-12-13","pct wk flu lab det","quantile",0.75,21.3428571428571
"ab",1,"2025-12-06","2025-12-13","pct wk flu lab det","quantile",0.9,25.0285714285714
"ab",1,"2025-12-06","2025-12-13","pct wk flu lab det","quantile",0.975,28.4285714285714
"ab",1,"2025-12-06","2025-12-13","pct wk rsv lab det","quantile",0.025,0.142857142857143
"ab",1,"2025-12-06","2025-12-13","pct wk rsv lab det","quantile",0.1,1
"ab",1,"2025-12-06","2025-12-13","pct wk rsv lab det","quantile",0.25,1.71428571428571
"ab",1,"2025-12-06","2025-12-13","pct wk rsv lab det","quantile",0.5,2.47142857142857
"ab",1,"2025-12-06","2025-12-13","pct wk rsv lab det","quantile",0.75,3.54285714285714
"ab",1,"2025-12-06","2025-12-13","pct wk rsv lab det","quantile",0.9,4.4
"ab",1,"2025-12-06","2025-12-13","pct wk rsv lab det","quantile",0.975,6.68571428571429
"ab",2,"2025-12-06","2025-12-20","pct wk covid lab det","quantile",0.025,1.68571428571429
"ab",2,"2025-12-06","2025-12-20","pct wk covid lab det","quantile",0.1,2.9
"ab",2,"2025-12-06","2025-12-20","pct wk covid lab det","quantile",0.25,3.9
"ab",2,"2025-12-06","2025-12-20","pct wk covid lab det","quantile",0.5,5.21428571428571
"ab",2,"2025-12-06","2025-12-20","pct wk covid lab det","quantile",0.75,6.52857142857143
"ab",2,"2025-12-06","2025-12-20","pct wk covid lab det","quantile",0.9,7.55714285714286
"ab",2,"2025-12-06","2025-12-20","pct wk covid lab det","quantile",0.975,9.47142857142857
"ab",2,"2025-12-06","2025-12-20","pct wk flu lab det","quantile",0.025,7.8
"ab",2,"2025-12-06","2025-12-20","pct wk flu lab det","quantile",0.1,12.7285714285714
"ab",2,"2025-12-06","2025-12-20","pct wk flu lab det","quantile",0.25,15.7285714285714
"ab",2,"2025-12-06","2025-12-20","pct wk flu lab det","quantile",0.5,19.1714285714286
"ab",2,"2025-12-06","2025-12-20","pct wk flu lab det","quantile",0.75,21.4571428571429
"ab",2,"2025-12-06","2025-12-20","pct wk flu lab det","quantile",0.9,24.6
"ab",2,"2025-12-06","2025-12-20","pct wk flu lab det","quantile",0.975,28.7428571428571
"ab",2,"2025-12-06","2025-12-20","pct wk rsv lab det","quantile",0.025,0.142857142857143
"ab",2,"2025-12-06","2025-12-20","pct wk rsv lab det","quantile",0.1,0.985714285714286
"ab",2,"2025-12-06","2025-12-20","pct wk rsv lab det","quantile",0.25,2.02857142857143
"ab",2,"2025-12-06","2025-12-20","pct wk rsv lab det","quantile",0.5,2.72857142857143
"ab",2,"2025-12-06","2025-12-20","pct wk rsv lab det","quantile",0.75,4.11428571428571
"ab",2,"2025-12-06","2025-12-20","pct wk rsv lab det","quantile",0.9,5.51428571428571
"ab",2,"2025-12-06","2025-12-20","pct wk rsv lab det","quantile",0.975,7.94285714285714
"ab",3,"2025-12-06","2025-12-27","pct wk covid lab det","quantile",0.025,1.6
"ab",3,"2025-12-06","2025-12-27","pct wk covid lab det","quantile",0.1,2.67142857142857
"ab",3,"2025-12-06","2025-12-27","pct wk covid lab det","quantile",0.25,3.65714285714286
"ab",3,"2025-12-06","2025-12-27","pct wk covid lab det","quantile",0.5,5.14285714285714
"ab",3,"2025-12-06","2025-12-27","pct wk covid lab det","quantile",0.75,6.55714285714286
"ab",3,"2025-12-06","2025-12-27","pct wk covid lab det","quantile",0.9,7.87142857142857
"ab",3,"2025-12-06","2025-12-27","pct wk covid lab det","quantile",0.975,9.54285714285714
"ab",3,"2025-12-06","2025-12-27","pct wk flu lab det","quantile",0.025,6.91428571428571
"ab",3,"2025-12-06","2025-12-27","pct wk flu lab det","quantile",0.1,13.5714285714286
"ab",3,"2025-12-06","2025-12-27","pct wk flu lab det","quantile",0.25,16.3714285714286
"ab",3,"2025-12-06","2025-12-27","pct wk flu lab det","quantile",0.5,18.3714285714286
