"location","target_end_date","output_type_id","value","reference_date","target","horizon","output_type"
"ab",2025-11-29,"0.025",4,2025-11-29,"pct wk covid lab det",0,"quantile"
"ab",2025-11-29,"0.1",4,2025-11-29,"pct wk covid lab det",0,"quantile"
"ab",2025-11-29,"0.25",4,2025-11-29,"pct wk covid lab det",0,"quantile"
"ab",2025-11-29,"0.5",4,2025-11-29,"pct wk covid lab det",0,"quantile"
"ab",2025-11-29,"0.75",5,2025-11-29,"pct wk covid lab det",0,"quantile"
"ab",2025-11-29,"0.9",5,2025-11-29,"pct wk covid lab det",0,"quantile"
"ab",2025-11-29,"0.975",5,2025-11-29,"pct wk covid lab det",0,"quantile"
"atlantic",2025-11-29,"0.025",5,2025-11-29,"pct wk covid lab det",0,"quantile"
"atlantic",2025-11-29,"0.1",5,2025-11-29,"pct wk covid lab det",0,"quantile"
"atlantic",2025-11-29,"0.25",5,2025-11-29,"pct wk covid lab det",0,"quantile"
"atlantic",2025-11-29,"0.5",6,2025-11-29,"pct wk covid lab det",0,"quantile"
"atlantic",2025-11-29,"0.75",6,2025-11-29,"pct wk covid lab det",0,"quantile"
"atlantic",2025-11-29,"0.9",6,2025-11-29,"pct wk covid lab det",0,"quantile"
"atlantic",2025-11-29,"0.975",6,2025-11-29,"pct wk covid lab det",0,"quantile"
"bc",2025-11-29,"0.025",4,2025-11-29,"pct wk covid lab det",0,"quantile"
"bc",2025-11-29,"0.1",4,2025-11-29,"pct wk covid lab det",0,"quantile"
"bc",2025-11-29,"0.25",4,2025-11-29,"pct wk covid lab det",0,"quantile"
"bc",2025-11-29,"0.5",5,2025-11-29,"pct wk covid lab det",0,"quantile"
"bc",2025-11-29,"0.75",5,2025-11-29,"pct wk covid lab det",0,"quantile"
"bc",2025-11-29,"0.9",5,2025-11-29,"pct wk covid lab det",0,"quantile"
"bc",2025-11-29,"0.975",5,2025-11-29,"pct wk covid lab det",0,"quantile"
"ca",2025-11-29,"0.025",6,2025-11-29,"pct wk covid lab det",0,"quantile"
"ca",2025-11-29,"0.1",6,2025-11-29,"pct wk covid lab det",0,"quantile"
"ca",2025-11-29,"0.25",6,2025-11-29,"pct wk covid lab det",0,"quantile"
"ca",2025-11-29,"0.5",6,2025-11-29,"pct wk covid lab det",0,"quantile"
"ca",2025-11-29,"0.75",7,2025-11-29,"pct wk covid lab det",0,"quantile"
"ca",2025-11-29,"0.9",7,2025-11-29,"pct wk covid lab det",0,"quantile"
"ca",2025-11-29,"0.975",7,2025-11-29,"pct wk covid lab det",0,"quantile"
"mb",2025-11-29,"0.025",4,2025-11-29,"pct wk covid lab det",0,"quantile"
"mb",2025-11-29,"0.1",4,2025-11-29,"pct wk covid lab det",0,"quantile"
"mb",2025-11-29,"0.25",4,2025-11-29,"pct wk covid lab det",0,"quantile"
"mb",2025-11-29,"0.5",4,2025-11-29,"pct wk covid lab det",0,"quantile"
"mb",2025-11-29,"0.75",5,2025-11-29,"pct wk covid lab det",0,"quantile"
"mb",2025-11-29,"0.9",5,2025-11-29,"pct wk covid lab det",0,"quantile"
"mb",2025-11-29,"0.975",5,2025-11-29,"pct wk covid lab det",0,"quantile"
"nb",2025-11-29,"0.025",6,2025-11-29,"pct wk covid lab det",0,"quantile"
"nb",2025-11-29,"0.1",6,2025-11-29,"pct wk covid lab det",0,"quantile"
"nb",2025-11-29,"0.25",6,2025-11-29,"pct wk covid lab det",0,"quantile"
"nb",2025-11-29,"0.5",6,2025-11-29,"pct wk covid lab det",0,"quantile"
"nb",2025-11-29,"0.75",7,2025-11-29,"pct wk covid lab det",0,"quantile"
"nb",2025-11-29,"0.9",7,2025-11-29,"pct wk covid lab det",0,"quantile"
"nb",2025-11-29,"0.975",7,2025-11-29,"pct wk covid lab det",0,"quantile"
"nl",2025-11-29,"0.025",4,2025-11-29,"pct wk covid lab det",0,"quantile"
"nl",2025-11-29,"0.1",4,2025-11-29,"pct wk covid lab det",0,"quantile"
"nl",2025-11-29,"0.25",4,2025-11-29,"pct wk covid lab det",0,"quantile"
"nl",2025-11-29,"0.5",5,2025-11-29,"pct wk covid lab det",0,"quantile"
"nl",2025-11-29,"0.75",5,2025-11-29,"pct wk covid lab det",0,"quantile"
"nl",2025-11-29,"0.9",5,2025-11-29,"pct wk covid lab det",0,"quantile"
"nl",2025-11-29,"0.975",5,2025-11-29,"pct wk covid lab det",0,"quantile"
"ns",2025-11-29,"0.025",5,2025-11-29,"pct wk covid lab det",0,"quantile"
"ns",2025-11-29,"0.1",5,2025-11-29,"pct wk covid lab det",0,"quantile"
"ns",2025-11-29,"0.25",5,2025-11-29,"pct wk covid lab det",0,"quantile"
"ns",2025-11-29,"0.5",6,2025-11-29,"pct wk covid lab det",0,"quantile"
"ns",2025-11-29,"0.75",6,2025-11-29,"pct wk covid lab det",0,"quantile"
"ns",2025-11-29,"0.9",6,2025-11-29,"pct wk covid lab det",0,"quantile"
"ns",2025-11-29,"0.975",6,2025-11-29,"pct wk covid lab det",0,"quantile"
"nt",2025-11-29,"0.025",8,2025-11-29,"pct wk covid lab det",0,"quantile"
"nt",2025-11-29,"0.1",8,2025-11-29,"pct wk covid lab det",0,"quantile"
"nt",2025-11-29,"0.25",8,2025-11-29,"pct wk covid lab det",0,"quantile"
"nt",2025-11-29,"0.5",8,2025-11-29,"pct wk covid lab det",0,"quantile"
"nt",2025-11-29,"0.75",9,2025-11-29,"pct wk covid lab det",0,"quantile"
"nt",2025-11-29,"0.9",9,2025-11-29,"pct wk covid lab det",0,"quantile"
"nt",2025-11-29,"0.975",9,2025-11-29,"pct wk covid lab det",0,"quantile"
"nu",2025-11-29,"0.025",0,2025-11-29,"pct wk covid lab det",0,"quantile"
"nu",2025-11-29,"0.1",0,2025-11-29,"pct wk covid lab det",0,"quantile"
"nu",2025-11-29,"0.25",0,2025-11-29,"pct wk covid lab det",0,"quantile"
"nu",2025-11-29,"0.5",0,2025-11-29,"pct wk covid lab det",0,"quantile"
"nu",2025-11-29,"0.75",0,2025-11-29,"pct wk covid lab det",0,"quantile"
"nu",2025-11-29,"0.9",0,2025-11-29,"pct wk covid lab det",0,"quantile"
"nu",2025-11-29,"0.975",0,2025-11-29,"pct wk covid lab det",0,"quantile"
"on",2025-11-29,"0.025",6,2025-11-29,"pct wk covid lab det",0,"quantile"
"on",2025-11-29,"0.1",6,2025-11-29,"pct wk covid lab det",0,"quantile"
"on",2025-11-29,"0.25",6,2025-11-29,"pct wk covid lab det",0,"quantile"
"on",2025-11-29,"0.5",6,2025-11-29,"pct wk covid lab det",0,"quantile"
"on",2025-11-29,"0.75",7,2025-11-29,"pct wk covid lab det",0,"quantile"
"on",2025-11-29,"0.9",7,2025-11-29,"pct wk covid lab det",0,"quantile"
"on",2025-11-29,"0.975",7,2025-11-29,"pct wk covid lab det",0,"quantile"
"pe",2025-11-29,"0.025",7,2025-11-29,"pct wk covid lab det",0,"quantile"
"pe",2025-11-29,"0.1",7,2025-11-29,"pct wk covid lab det",0,"quantile"
"pe",2025-11-29,"0.25",7,2025-11-29,"pct wk covid lab det",0,"quantile"
"pe",2025-11-29,"0.5",8,2025-11-29,"pct wk covid lab det",0,"quantile"
"pe",2025-11-29,"0.75",8,2025-11-29,"pct wk covid lab det",0,"quantile"
"pe",2025-11-29,"0.9",8,2025-11-29,"pct wk covid lab det",0,"quantile"
"pe",2025-11-29,"0.975",8,2025-11-29,"pct wk covid lab det",0,"quantile"
"prairies",2025-11-29,"0.025",4,2025-11-29,"pct wk covid lab det",0,"quantile"
"prairies",2025-11-29,"0.1",4,2025-11-29,"pct wk covid lab det",0,"quantile"
