reference_date,target_end_date,horizon,location,target,output_type,output_type_id,value
2026-01-10,2026-01-03,-1,ab,pct wk covid lab det,quantile,0.025,1.9
2026-01-10,2026-01-03,-1,ab,pct wk covid lab det,quantile,0.1,2.8
2026-01-10,2026-01-03,-1,ab,pct wk covid lab det,quantile,0.25,3.5
2026-01-10,2026-01-03,-1,ab,pct wk covid lab det,quantile,0.5,4.2
2026-01-10,2026-01-03,-1,ab,pct wk covid lab det,quantile,0.75,4.9
2026-01-10,2026-01-03,-1,ab,pct wk covid lab det,quantile,0.9,5.6
2026-01-10,2026-01-03,-1,ab,pct wk covid lab det,quantile,0.975,6.3
2026-01-10,2026-01-10,0,ab,pct wk covid lab det,quantile,0.025,2.3
2026-01-10,2026-01-10,0,ab,pct wk covid lab det,quantile,0.1,3
2026-01-10,2026-01-10,0,ab,pct wk covid lab det,quantile,0.25,3.5
2026-01-10,2026-01-10,0,ab,pct wk covid lab det,quantile,0.5,4.1
2026-01-10,2026-01-10,0,ab,pct wk covid lab det,quantile,0.75,4.6
2026-01-10,2026-01-10,0,ab,pct wk covid lab det,quantile,0.9,5.2
2026-01-10,2026-01-10,0,ab,pct wk covid lab det,quantile,0.975,5.8
2026-01-10,2026-01-17,1,ab,pct wk covid lab det,quantile,0.025,2.4
2026-01-10,2026-01-17,1,ab,pct wk covid lab det,quantile,0.1,3
2026-01-10,2026-01-17,1,ab,pct wk covid lab det,quantile,0.25,3.6
2026-01-10,2026-01-17,1,ab,pct wk covid lab det,quantile,0.5,4.2
2026-01-10,2026-01-17,1,ab,pct wk covid lab det,quantile,0.75,4.9
2026-01-10,2026-01-17,1,ab,pct wk covid lab det,quantile,0.9,5.5
2026-01-10,2026-01-17,1,ab,pct wk covid lab det,quantile,0.975,6.2
2026-01-10,2026-01-24,2,ab,pct wk covid lab det,quantile,0.025,2.2
2026-01-10,2026-01-24,2,ab,pct wk covid lab det,quantile,0.1,2.9
2026-01-10,2026-01-24,2,ab,pct wk covid lab det,quantile,0.25,3.5
2026-01-10,2026-01-24,2,ab,pct wk covid lab det,quantile,0.5,4.2
2026-01-10,2026-01-24,2,ab,pct wk covid lab det,quantile,0.75,4.9
2026-01-10,2026-01-24,2,ab,pct wk covid lab det,quantile,0.9,5.5
2026-01-10,2026-01-24,2,ab,pct wk covid lab det,quantile,0.975,6.3
2026-01-10,2026-01-31,3,ab,pct wk covid lab det,quantile,0.025,2.2
2026-01-10,2026-01-31,3,ab,pct wk covid lab det,quantile,0.1,3
2026-01-10,2026-01-31,3,ab,pct wk covid lab det,quantile,0.25,3.7
2026-01-10,2026-01-31,3,ab,pct wk covid lab det,quantile,0.5,4.3
2026-01-10,2026-01-31,3,ab,pct wk covid lab det,quantile,0.75,5.1
2026-01-10,2026-01-31,3,ab,pct wk covid lab det,quantile,0.9,5.9
2026-01-10,2026-01-31,3,ab,pct wk covid lab det,quantile,0.975,6.8
2026-01-10,2026-01-03,-1,atlantic,pct wk covid lab det,quantile,0.025,5.4
2026-01-10,2026-01-03,-1,atlantic,pct wk covid lab det,quantile,0.1,6.4
2026-01-10,2026-01-03,-1,atlantic,pct wk covid lab det,quantile,0.25,7.1
2026-01-10,2026-01-03,-1,atlantic,pct wk covid lab det,quantile,0.5,8
2026-01-10,2026-01-03,-1,atlantic,pct wk covid lab det,quantile,0.75,8.9
2026-01-10,2026-01-03,-1,atlantic,pct wk covid lab det,quantile,0.9,9.6
2026-01-10,2026-01-03,-1,atlantic,pct wk covid lab det,quantile,0.975,10.4
2026-01-10,2026-01-10,0,atlantic,pct wk covid lab det,quantile,0.025,5.5
2026-01-10,2026-01-10,0,atlantic,pct wk covid lab det,quantile,0.1,6.4
2026-01-10,2026-01-10,0,atlantic,pct wk covid lab det,quantile,0.25,7.3
2026-01-10,2026-01-10,0,atlantic,pct wk covid lab det,quantile,0.5,8.2
2026-01-10,2026-01-10,0,atlantic,pct wk covid lab det,quantile,0.75,9.1
2026-01-10,2026-01-10,0,atlantic,pct wk covid lab det,quantile,0.9,9.9
2026-01-10,2026-01-10,0,atlantic,pct wk covid lab det,quantile,0.975,11
2026-01-10,2026-01-17,1,atlantic,pct wk covid lab det,quantile,0.025,4.7
2026-01-10,2026-01-17,1,atlantic,pct wk covid lab det,quantile,0.1,5.5
2026-01-10,2026-01-17,1,atlantic,pct wk covid lab det,quantile,0.25,6.4
2026-01-10,2026-01-17,1,atlantic,pct wk covid lab det,quantile,0.5,7.3
2026-01-10,2026-01-17,1,atlantic,pct wk covid lab det,quantile,0.75,8.1
2026-01-10,2026-01-17,1,atlantic,pct wk covid lab det,quantile,0.9,8.9
2026-01-10,2026-01-17,1,atlantic,pct wk covid lab det,quantile,0.975,10.1
2026-01-10,2026-01-24,2,atlantic,pct wk covid lab det,quantile,0.025,4.4
2026-01-10,2026-01-24,2,atlantic,pct wk covid lab det,quantile,0.1,5.8
2026-01-10,2026-01-24,2,atlantic,pct wk covid lab det,quantile,0.25,6.7
2026-01-10,2026-01-24,2,atlantic,pct wk covid lab det,quantile,0.5,7.8
2026-01-10,2026-01-24,2,atlantic,pct wk covid lab det,quantile,0.75,8.8
2026-01-10,2026-01-24,2,atlantic,pct wk covid lab det,quantile,0.9,9.8
2026-01-10,2026-01-24,2,atlantic,pct wk covid lab det,quantile,0.975,11.2
2026-01-10,2026-01-31,3,atlantic,pct wk covid lab det,quantile,0.025,4.9
2026-01-10,2026-01-31,3,atlantic,pct wk covid lab det,quantile,0.1,6.2
2026-01-10,2026-01-31,3,atlantic,pct wk covid lab det,quantile,0.25,7.1
2026-01-10,2026-01-31,3,atlantic,pct wk covid lab det,quantile,0.5,8.2
2026-01-10,2026-01-31,3,atlantic,pct wk covid lab det,quantile,0.75,9.5
2026-01-10,2026-01-31,3,atlantic,pct wk covid lab det,quantile,0.9,10.7
2026-01-10,2026-01-31,3,atlantic,pct wk covid lab det,quantile,0.975,12.2
2026-01-10,2026-01-03,-1,bc,pct wk covid lab det,quantile,0.025,0.8
