"reference_date","target","horizon","target_end_date","location","output_type","output_type_id","value"
2025-11-22,"pct wk covid lab det",-1,2025-11-15,"ca","quantile",0.025,7
2025-11-22,"pct wk covid lab det",0,2025-11-22,"ca","quantile",0.025,6
2025-11-22,"pct wk covid lab det",1,2025-11-29,"ca","quantile",0.025,6
2025-11-22,"pct wk covid lab det",2,2025-12-06,"ca","quantile",0.025,5
2025-11-22,"pct wk covid lab det",3,2025-12-13,"ca","quantile",0.025,5
2025-11-22,"pct wk covid lab det",-1,2025-11-15,"ca","quantile",0.1,7
2025-11-22,"pct wk covid lab det",0,2025-11-22,"ca","quantile",0.1,7
2025-11-22,"pct wk covid lab det",1,2025-11-29,"ca","quantile",0.1,7
2025-11-22,"pct wk covid lab det",2,2025-12-06,"ca","quantile",0.1,7
2025-11-22,"pct wk covid lab det",3,2025-12-13,"ca","quantile",0.1,7
2025-11-22,"pct wk covid lab det",-1,2025-11-15,"ca","quantile",0.25,7
2025-11-22,"pct wk covid lab det",0,2025-11-22,"ca","quantile",0.25,7
2025-11-22,"pct wk covid lab det",1,2025-11-29,"ca","quantile",0.25,7
2025-11-22,"pct wk covid lab det",2,2025-12-06,"ca","quantile",0.25,7
2025-11-22,"pct wk covid lab det",3,2025-12-13,"ca","quantile",0.25,7
2025-11-22,"pct wk covid lab det",-1,2025-11-15,"ca","quantile",0.5,7
2025-11-22,"pct wk covid lab det",0,2025-11-22,"ca","quantile",0.5,7
2025-11-22,"pct wk covid lab det",1,2025-11-29,"ca","quantile",0.5,7
2025-11-22,"pct wk covid lab det",2,2025-12-06,"ca","quantile",0.5,7
2025-11-22,"pct wk covid lab det",3,2025-12-13,"ca","quantile",0.5,7
2025-11-22,"pct wk covid lab det",-1,2025-11-15,"ca","quantile",0.75,7
2025-11-22,"pct wk covid lab det",0,2025-11-22,"ca","quantile",0.75,7
2025-11-22,"pct wk covid lab det",1,2025-11-29,"ca","quantile",0.75,7
2025-11-22,"pct wk covid lab det",2,2025-12-06,"ca","quantile",0.75,7
2025-11-22,"pct wk covid lab det",3,2025-12-13,"ca","quantile",0.75,7
2025-11-22,"pct wk covid lab det",-1,2025-11-15,"ca","quantile",0.9,7
2025-11-22,"pct wk covid lab det",0,2025-11-22,"ca","quantile",0.9,7
2025-11-22,"pct wk covid lab det",1,2025-11-29,"ca","quantile",0.9,7
2025-11-22,"pct wk covid lab det",2,2025-12-06,"ca","quantile",0.9,7
2025-11-22,"pct wk covid lab det",3,2025-12-13,"ca","quantile",0.9,7
2025-11-22,"pct wk covid lab det",-1,2025-11-15,"ca","quantile",0.975,7
2025-11-22,"pct wk covid lab det",0,2025-11-22,"ca","quantile",0.975,8
2025-11-22,"pct wk covid lab det",1,2025-11-29,"ca","quantile",0.975,8
2025-11-22,"pct wk covid lab det",2,2025-12-06,"ca","quantile",0.975,8
2025-11-22,"pct wk covid lab det",3,2025-12-13,"ca","quantile",0.975,8
2025-11-22,"pct wk covid lab det",-1,2025-11-15,"sk","quantile",0.025,5
2025-11-22,"pct wk covid lab det",0,2025-11-22,"sk","quantile",0.025,6
2025-11-22,"pct wk covid lab det",1,2025-11-29,"sk","quantile",0.025,6
2025-11-22,"pct wk covid lab det",2,2025-12-06,"sk","quantile",0.025,5
2025-11-22,"pct wk covid lab det",3,2025-12-13,"sk","quantile",0.025,5
2025-11-22,"pct wk covid lab det",-1,2025-11-15,"sk","quantile",0.1,6
2025-11-22,"pct wk covid lab det",0,2025-11-22,"sk","quantile",0.1,6
2025-11-22,"pct wk covid lab det",1,2025-11-29,"sk","quantile",0.1,6
2025-11-22,"pct wk covid lab det",2,2025-12-06,"sk","quantile",0.1,6
2025-11-22,"pct wk covid lab det",3,2025-12-13,"sk","quantile",0.1,6
2025-11-22,"pct wk covid lab det",-1,2025-11-15,"sk","quantile",0.25,6
2025-11-22,"pct wk covid lab det",0,2025-11-22,"sk","quantile",0.25,6
2025-11-22,"pct wk covid lab det",1,2025-11-29,"sk","quantile",0.25,6
2025-11-22,"pct wk covid lab det",2,2025-12-06,"sk","quantile",0.25,6
2025-11-22,"pct wk covid lab det",3,2025-12-13,"sk","quantile",0.25,6
2025-11-22,"pct wk covid lab det",-1,2025-11-15,"sk","quantile",0.5,7
2025-11-22,"pct wk covid lab det",0,2025-11-22,"sk","quantile",0.5,7
2025-11-22,"pct wk covid lab det",1,2025-11-29,"sk","quantile",0.5,7
2025-11-22,"pct wk covid lab det",2,2025-12-06,"sk","quantile",0.5,7
2025-11-22,"pct wk covid lab det",3,2025-12-13,"sk","quantile",0.5,7
2025-11-22,"pct wk covid lab det",-1,2025-11-15,"sk","quantile",0.75,7
2025-11-22,"pct wk covid lab det",0,2025-11-22,"sk","quantile",0.75,7
2025-11-22,"pct wk covid lab det",1,2025-11-29,"sk","quantile",0.75,7
2025-11-22,"pct wk covid lab det",2,2025-12-06,"sk","quantile",0.75,7
2025-11-22,"pct wk covid lab det",3,2025-12-13,"sk","quantile",0.75,7
