reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-01-10,pct wk covid lab det,-1,2026-01-03,ca,quantile,0.025,3
2026-01-10,pct wk covid lab det,-1,2026-01-03,ca,quantile,0.1,4
2026-01-10,pct wk covid lab det,-1,2026-01-03,ca,quantile,0.25,5
2026-01-10,pct wk covid lab det,-1,2026-01-03,ca,quantile,0.5,5
2026-01-10,pct wk covid lab det,-1,2026-01-03,ca,quantile,0.75,6
2026-01-10,pct wk covid lab det,-1,2026-01-03,ca,quantile,0.9,7
2026-01-10,pct wk covid lab det,-1,2026-01-03,ca,quantile,0.975,7
2026-01-10,pct wk covid lab det,0,2026-01-10,ca,quantile,0.025,3
2026-01-10,pct wk covid lab det,0,2026-01-10,ca,quantile,0.1,4
2026-01-10,pct wk covid lab det,0,2026-01-10,ca,quantile,0.25,4
2026-01-10,pct wk covid lab det,0,2026-01-10,ca,quantile,0.5,5
2026-01-10,pct wk covid lab det,0,2026-01-10,ca,quantile,0.75,6
2026-01-10,pct wk covid lab det,0,2026-01-10,ca,quantile,0.9,6
2026-01-10,pct wk covid lab det,0,2026-01-10,ca,quantile,0.975,7
2026-01-10,pct wk covid lab det,1,2026-01-17,ca,quantile,0.025,3
2026-01-10,pct wk covid lab det,1,2026-01-17,ca,quantile,0.1,4
2026-01-10,pct wk covid lab det,1,2026-01-17,ca,quantile,0.25,4
2026-01-10,pct wk covid lab det,1,2026-01-17,ca,quantile,0.5,5
2026-01-10,pct wk covid lab det,1,2026-01-17,ca,quantile,0.75,6
2026-01-10,pct wk covid lab det,1,2026-01-17,ca,quantile,0.9,6
2026-01-10,pct wk covid lab det,1,2026-01-17,ca,quantile,0.975,7
2026-01-10,pct wk covid lab det,2,2026-01-24,ca,quantile,0.025,3
2026-01-10,pct wk covid lab det,2,2026-01-24,ca,quantile,0.1,3
2026-01-10,pct wk covid lab det,2,2026-01-24,ca,quantile,0.25,4
2026-01-10,pct wk covid lab det,2,2026-01-24,ca,quantile,0.5,5
2026-01-10,pct wk covid lab det,2,2026-01-24,ca,quantile,0.75,5
2026-01-10,pct wk covid lab det,2,2026-01-24,ca,quantile,0.9,6
2026-01-10,pct wk covid lab det,2,2026-01-24,ca,quantile,0.975,7
2026-01-10,pct wk covid lab det,3,2026-01-31,ca,quantile,0.025,3
2026-01-10,pct wk covid lab det,3,2026-01-31,ca,quantile,0.1,3
2026-01-10,pct wk covid lab det,3,2026-01-31,ca,quantile,0.25,4
2026-01-10,pct wk covid lab det,3,2026-01-31,ca,quantile,0.5,5
2026-01-10,pct wk covid lab det,3,2026-01-31,ca,quantile,0.75,5
2026-01-10,pct wk covid lab det,3,2026-01-31,ca,quantile,0.9,6
2026-01-10,pct wk covid lab det,3,2026-01-31,ca,quantile,0.975,7
2026-01-10,pct wk covid lab det,-1,2026-01-03,on,quantile,0.025,3
2026-01-10,pct wk covid lab det,-1,2026-01-03,on,quantile,0.1,4
2026-01-10,pct wk covid lab det,-1,2026-01-03,on,quantile,0.25,5
2026-01-10,pct wk covid lab det,-1,2026-01-03,on,quantile,0.5,5
2026-01-10,pct wk covid lab det,-1,2026-01-03,on,quantile,0.75,6
2026-01-10,pct wk covid lab det,-1,2026-01-03,on,quantile,0.9,7
2026-01-10,pct wk covid lab det,-1,2026-01-03,on,quantile,0.975,8
2026-01-10,pct wk covid lab det,0,2026-01-10,on,quantile,0.025,2
2026-01-10,pct wk covid lab det,0,2026-01-10,on,quantile,0.1,3
2026-01-10,pct wk covid lab det,0,2026-01-10,on,quantile,0.25,3
