reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-01-17,pct wk covid lab det,-1,2026-01-10,ab,quantile,0.025,2.7480173641573815
2026-01-17,pct wk covid lab det,-1,2026-01-10,ab,quantile,0.1,3.425024206537966
2026-01-17,pct wk covid lab det,-1,2026-01-10,ab,quantile,0.25,4.036831497012281
2026-01-17,pct wk covid lab det,-1,2026-01-10,ab,quantile,0.5,4.709189981881063
2026-01-17,pct wk covid lab det,-1,2026-01-10,ab,quantile,0.75,5.379126808349445
2026-01-17,pct wk covid lab det,-1,2026-01-10,ab,quantile,0.9,5.987513214258509
2026-01-17,pct wk covid lab det,-1,2026-01-10,ab,quantile,0.975,6.668045287193902
2026-01-17,pct wk covid lab det,0,2026-01-10,ab,quantile,0.025,2.7559457082198753
2026-01-17,pct wk covid lab det,0,2026-01-10,ab,quantile,0.1,3.4290749581708067
2026-01-17,pct wk covid lab det,0,2026-01-10,ab,quantile,0.25,4.042221284965839
2026-01-17,pct wk covid lab det,0,2026-01-10,ab,quantile,0.5,4.7135361865601695
2026-01-17,pct wk covid lab det,0,2026-01-10,ab,quantile,0.75,5.384020011155402
2026-01-17,pct wk covid lab det,0,2026-01-10,ab,quantile,0.9,5.989459252166922
2026-01-17,pct wk covid lab det,0,2026-01-10,ab,quantile,0.975,6.660794896729126
2026-01-17,pct wk covid lab det,1,2026-01-17,ab,quantile,0.025,2.597953510952292
2026-01-17,pct wk covid lab det,1,2026-01-17,ab,quantile,0.1,3.525151869542274
2026-01-17,pct wk covid lab det,1,2026-01-17,ab,quantile,0.25,4.339294549956788
2026-01-17,pct wk covid lab det,1,2026-01-17,ab,quantile,0.5,5.2556245028771995
2026-01-17,pct wk covid lab det,1,2026-01-17,ab,quantile,0.75,6.170615325544645
2026-01-17,pct wk covid lab det,1,2026-01-17,ab,quantile,0.9,6.987886396408162
2026-01-17,pct wk covid lab det,1,2026-01-17,ab,quantile,0.975,7.904880145715161
2026-01-17,pct wk covid lab det,2,2026-01-24,ab,quantile,0.025,2.006499738561285
2026-01-17,pct wk covid lab det,2,2026-01-24,ab,quantile,0.1,3.1667113941520144
2026-01-17,pct wk covid lab det,2,2026-01-24,ab,quantile,0.25,4.200325449046811
2026-01-17,pct wk covid lab det,2,2026-01-24,ab,quantile,0.5,5.349460204450821
2026-01-17,pct wk covid lab det,2,2026-01-24,ab,quantile,0.75,6.480358865785076
2026-01-17,pct wk covid lab det,2,2026-01-24,ab,quantile,0.9,7.530472690168869
2026-01-17,pct wk covid lab det,2,2026-01-24,ab,quantile,0.975,8.68338408710754
2026-01-17,pct wk covid lab det,3,2026-01-31,ab,quantile,0.025,0.7014740787970721
2026-01-17,pct wk covid lab det,3,2026-01-31,ab,quantile,0.1,2.092370923938246
2026-01-17,pct wk covid lab det,3,2026-01-31,ab,quantile,0.25,3.3442814490683146
2026-01-17,pct wk covid lab det,3,2026-01-31,ab,quantile,0.5,4.716121565100003
2026-01-17,pct wk covid lab det,3,2026-01-31,ab,quantile,0.75,6.1022754398174035
2026-01-17,pct wk covid lab det,3,2026-01-31,ab,quantile,0.9,7.340056542746983
2026-01-17,pct wk covid lab det,3,2026-01-31,ab,quantile,0.975,8.747085473630477
2026-01-17,pct wk covid lab det,-1,2026-01-10,atlantic,quantile,0.025,4.3334363814838515
2026-01-17,pct wk covid lab det,-1,2026-01-10,atlantic,quantile,0.1,5.144703543947955
2026-01-17,pct wk covid lab det,-1,2026-01-10,atlantic,quantile,0.25,5.872852783788369
2026-01-17,pct wk covid lab det,-1,2026-01-10,atlantic,quantile,0.5,6.668317165979606
2026-01-17,pct wk covid lab det,-1,2026-01-10,atlantic,quantile,0.75,7.468598804596377
2026-01-17,pct wk covid lab det,-1,2026-01-10,atlantic,quantile,0.9,8.191059197476672
2026-01-17,pct wk covid lab det,-1,2026-01-10,atlantic,quantile,0.975,9.01842264314977
2026-01-17,pct wk covid lab det,0,2026-01-10,atlantic,quantile,0.025,4.829982113891836
2026-01-17,pct wk covid lab det,0,2026-01-10,atlantic,quantile,0.1,5.639759590621393
2026-01-17,pct wk covid lab det,0,2026-01-10,atlantic,quantile,0.25,6.357576430084943
2026-01-17,pct wk covid lab det,0,2026-01-10,atlantic,quantile,0.5,7.162428223318123
2026-01-17,pct wk covid lab det,0,2026-01-10,atlantic,quantile,0.75,7.971458496822966
2026-01-17,pct wk covid lab det,0,2026-01-10,atlantic,quantile,0.9,8.698475592523508
2026-01-17,pct wk covid lab det,0,2026-01-10,atlantic,quantile,0.975,9.505885340758681
2026-01-17,pct wk covid lab det,1,2026-01-17,atlantic,quantile,0.025,4.30279268726584
2026-01-17,pct wk covid lab det,1,2026-01-17,atlantic,quantile,0.1,5.39234696832882
2026-01-17,pct wk covid lab det,1,2026-01-17,atlantic,quantile,0.25,6.36067736190951
2026-01-17,pct wk covid lab det,1,2026-01-17,atlantic,quantile,0.5,7.460437793092882
2026-01-17,pct wk covid lab det,1,2026-01-17,atlantic,quantile,0.75,8.550933081061528
2026-01-17,pct wk covid lab det,1,2026-01-17,atlantic,quantile,0.9,9.530625726465429
2026-01-17,pct wk covid lab det,1,2026-01-17,atlantic,quantile,0.975,10.60944963616804
2026-01-17,pct wk covid lab det,2,2026-01-24,atlantic,quantile,0.025,5.836961822956502
2026-01-17,pct wk covid lab det,2,2026-01-24,atlantic,quantile,0.1,7.226883000034003
2026-01-17,pct wk covid lab det,2,2026-01-24,atlantic,quantile,0.25,8.456361309780519
2026-01-17,pct wk covid lab det,2,2026-01-24,atlantic,quantile,0.5,9.809226960989887
2026-01-17,pct wk covid lab det,2,2026-01-24,atlantic,quantile,0.75,11.17940394571194
2026-01-17,pct wk covid lab det,2,2026-01-24,atlantic,quantile,0.9,12.405255228193202
2026-01-17,pct wk covid lab det,2,2026-01-24,atlantic,quantile,0.975,13.799440195237628
2026-01-17,pct wk covid lab det,3,2026-01-31,atlantic,quantile,0.025,6.236017420789392
2026-01-17,pct wk covid lab det,3,2026-01-31,atlantic,quantile,0.1,7.889280400909239
2026-01-17,pct wk covid lab det,3,2026-01-31,atlantic,quantile,0.25,9.38794563270545
2026-01-17,pct wk covid lab det,3,2026-01-31,atlantic,quantile,0.5,11.046523381980409
2026-01-17,pct wk covid lab det,3,2026-01-31,atlantic,quantile,0.75,12.677976458229079
2026-01-17,pct wk covid lab det,3,2026-01-31,atlantic,quantile,0.9,14.187487328913962
2026-01-17,pct wk covid lab det,3,2026-01-31,atlantic,quantile,0.975,15.847948778520822
2026-01-17,pct wk covid lab det,-1,2026-01-10,bc,quantile,0.025,0.6622862157411429
2026-01-17,pct wk covid lab det,-1,2026-01-10,bc,quantile,0.1,1.3179290303007332
2026-01-17,pct wk covid lab det,-1,2026-01-10,bc,quantile,0.25,1.9427275094200867
2026-01-17,pct wk covid lab det,-1,2026-01-10,bc,quantile,0.5,2.6078732330833714
2026-01-17,pct wk covid lab det,-1,2026-01-10,bc,quantile,0.75,3.284950508108132
2026-01-17,pct wk covid lab det,-1,2026-01-10,bc,quantile,0.9,3.879835677899096
2026-01-17,pct wk covid lab det,-1,2026-01-10,bc,quantile,0.975,4.577629942870692
2026-01-17,pct wk covid lab det,0,2026-01-10,bc,quantile,0.025,0.9774042068162119
2026-01-17,pct wk covid lab det,0,2026-01-10,bc,quantile,0.1,1.6633538797582155
2026-01-17,pct wk covid lab det,0,2026-01-10,bc,quantile,0.25,2.2680510134440133
2026-01-17,pct wk covid lab det,0,2026-01-10,bc,quantile,0.5,2.9391123322493704
2026-01-17,pct wk covid lab det,0,2026-01-10,bc,quantile,0.75,3.6113383967088493
2026-01-17,pct wk covid lab det,0,2026-01-10,bc,quantile,0.9,4.233661413502306
2026-01-17,pct wk covid lab det,0,2026-01-10,bc,quantile,0.975,4.9039343403349775
2026-01-17,pct wk covid lab det,1,2026-01-17,bc,quantile,0.025,0.11210396521622013
2026-01-17,pct wk covid lab det,1,2026-01-17,bc,quantile,0.1,1.0146673907045076
2026-01-17,pct wk covid lab det,1,2026-01-17,bc,quantile,0.25,1.8406333715255396
2026-01-17,pct wk covid lab det,1,2026-01-17,bc,quantile,0.5,2.7530381786177753
2026-01-17,pct wk covid lab det,1,2026-01-17,bc,quantile,0.75,3.6605111259529526
2026-01-17,pct wk covid lab det,1,2026-01-17,bc,quantile,0.9,4.476214322810118
2026-01-17,pct wk covid lab det,1,2026-01-17,bc,quantile,0.975,5.400556414340413
2026-01-17,pct wk covid lab det,2,2026-01-24,bc,quantile,0.025,0.0
2026-01-17,pct wk covid lab det,2,2026-01-24,bc,quantile,0.1,0.36193964693256575
